cvm_code,trade_name,b3_trade_name,b3_issuer_code,b3_segment,b3_sector,available_years
901348,BTGHOLDING,BTGHOLDING,BTGH,,,0
901355,MUFGBM,MUFGBM,BTMB,,,0
901363,DSBSERVICOS,DSBSERVICOS,BTOG,,,0
901371,BCOTOYOTABM,BCOTOYOTABM,BTOY,,,0
901389,VOLKSWAGENBM,VOLKSWAGENBM,BVKW,,,0
901397,VOLVOBM,VOLVOBM,BVLV,,,0
901413,CABAGUASAGRE,CABAGUASAGRE,CABA,,,0
901421,AGUASCUIABA,AGUASCUIABA,CABC,,,0
901439,PARANAGUA,PARANAGUA,CABP,,,0
901447,CALDEIRAO,CALDEIRAO,CADR,,,0
901454,ABRILEDUCACA,ABRILEDUCACA,CAEP,,,0
901462,CIASERVICOS,CIASERVICOS,CAES,,,0
901470,FLORIANOPOLI,FLORIANOPOLI,CAIF,,,0
901488,CAIUAENERGIA,CAIUAENERGIA,CAIT,,,0
901496,CARUANACFI,CARUANACFI,CARU,,,0
901538,PREMIUM,PREMIUM,CBBP,,,0
901546,BAHIANORTE,BAHIANORTE,CBHN,,,0
901553,CIABRAVIDROS,CIABRAVIDROS,CBVP,,,0
901561,CCAB,CCAB,CCAB,,,0
901579,CAMCORPART,CAMCORPART,CCCP,,,0
901587,BBNEGBM,BBNEGBM,CCDB,,,0
901595,CAMARGO,CAMARGO,CCHO,,,0
901603,CAMARGOINFRA,CAMARGOINFRA,CCIF,,,0
901611,CIDADANIA,CIDADANIA,CDDN,,,0
901629,CERENERGIAS,CERENERGIAS,CDER,,,0
901637,CODEMIG,CODEMIG,CDMG,,,0
901645,CREDITACFI,CREDITACFI,CDTA,,,0
901678,CEAII,CEAII,CEAD,,,0
901686,NEOENERGIADI,NEOENERGIADI,CEBD,,,0
901694,ECO135,ECO135,CECO,,,0
901702,CEJA,CEJA,CEJA,,,0
901710,CAETITEPART,CAETITEPART,CEOL,,,0
901728,CEOSADM,CEOSADM,CEOS,,,0
901736,EPESA,EPESA,CEPR,,,0
901744,CERAN,CERAN,CERN,,,0
901769,CELSESERGIPE,CELSESERGIPE,CESE,,,0
901777,LUZDOOESTE,LUZDOOESTE,CFLO,,,0
901785,CAMPOFORMOSO,CAMPOFORMOSO,CFMS,,,0
901793,COMFRIO,COMFRIO,CFRI,,,0
901801,CONTOUR,CONTOUR,CGBP,,,0
901819,COPACABANA,COPACABANA,CGEP,,,0
901827,CHBCH,CHBCH,CHBR,,,0
901835,CHAPADAI,CHAPADAI,CHPA,,,0
901843,CIBE,CIBE,CIBP,,,0
901850,CIMAR,CIMAR,CIMA,,,0
901868,CINEL,CINEL,CINL,,,0
901876,CIPASA,CIPASA,CIPS,,,0
901884,CITIBM,CITIBM,CITI,,,0
901892,CLASSICOBM,CLASSICOBM,CLAS,,,0
901900,BRINOX,BRINOX,BRNX,,,0
901918,CALAMO,CALAMO,CLMO,,,0
901926,COLUMBIA,COLUMBIA,CLND,,,0
901934,CALANGO6,CALANGO6,CLNG,,,0
901942,CLARINDOPART,CLARINDOPART,CLRN,,,0
901967,CAPIMBRANCO,CAPIMBRANCO,CMCB,,,0
901975,CAMPOII,CAMPOII,CMFI,,,0
901991,CIAPARANA,CIAPARANA,CMNP,,,0
902007,MOVESP,MOVESP,CMSP,,,0
902015,CANABRAVA,CANABRAVA,CNBE,,,0
902023,ENERGCANDEIA,ENERGCANDEIA,CNDS,,,0
902031,CAMPOSNOVOS,CAMPOSNOVOS,CNEN,,,0
902049,CNHCAPITALBM,CNHCAPITALBM,CNHC,,,0
902056,LINHA4,LINHA4,CNLM,,,0
902064,CALOINORTE,CALOINORTE,CNOR,,,0
902072,CONASA,CONASA,CNSA,,,0
902106,CODEME,CODEME,CODE,,,0
902114,CONE,CONE,CONE,,,0
902122,COTIAVITORIA,COTIAVITORIA,COTV,,,0
902130,CPFLCOMERCBR,CPFLCOMERCBR,CPFC,,,0
902148,CPFL,CPFL,CPFS,,,0
902163,CIAJAGUARI,CIAJAGUARI,CPJG,,,0
902171,COPELSA,COPELSA,CPLD,,,0
902189,CIAALCOOL,CIAALCOOL,CPNA,,,0
902197,COMPORTEPART,COMPORTEPART,CPOR,,,0
902205,CPQBRASIL,CPQBRASIL,CPQB,,,0
902213,RBCAP,RBCAP,CPRB,,,0
902221,LIGGA TELEC,LIGGA TELEC,CPTM,,,0
902239,CAMPOSVENTOS,CAMPOSVENTOS,CPVV,,,0
902247,ETCCAPIXABA,ETCCAPIXABA,CPXB,,,0
902254,CONSTRUTORAG,CONSTRUTORAG,CQGV,,,0
902262,BRAZILIENSE,BRAZILIENSE,CRBZ,,,0
902288,CREDZ,CREDZ,CRED,,,0
902296,CROMEX,CROMEX,CRMX,,,0
902304,CAPRICORNIO,CAPRICORNIO,CRNI,,,0
902312,CROMOSSOMOII,CROMOSSOMOII,CRSM,,,0
902320,CORUMBA,CORUMBA,CRUM,,,0
902338,CARUANAPART,CARUANAPART,CRUN,,,0
902346,CSBIO,CSBIO,CSBN,,,0
902353,CIFRACFI,CIFRACFI,CSCS,,,0
902361,ENOVA,ENOVA,CSDC,,,0
902387,CARTAGOIAS,CARTAGOIAS,CTGO,,,0
902395,COTEMINASSA,COTEMINASSA,CTMS,,,0
902429,ENERTOCANTIN,ENERTOCANTIN,CTNS,,,0
902437,VIARIO,VIARIO,CTOL,,,0
902445,CATERPILLARB,CATERPILLARB,CTPL,,,0
902452,CETREL,CETREL,CTRL,,,0
902460,CANTAREIRA,CANTAREIRA,CTRR,,,0
902478,CAVANROCBRA,CAVANROCBRA,CVAN,,,0
902486,CASAEVIDEO,CASAEVIDEO,CVRJ,,,0
902494,MORRINHOSENE,MORRINHOSENE,CXER,,,0
902510,CAMACARI,CAMACARI,DACM,,,0
902528,DOBREVE,DOBREVE,DBRV,,,0
902536,DEUTSCHEBM,DEUTSCHEBM,DBSA,,,0
902544,MERCEDESBBM,MERCEDESBBM,DCLS,,,0
902569,DELGA,DELGA,DELG,,,0
902577,DELTA5,DELTA5,DENG,,,0
902585,DELTA6,DELTA6,DESA,,,0
902593,CLINICADELFI,CLINICADELFI,DFNG,,,0
902601,DGBGEO,DGBGEO,DGBL,,,0
902619,DROGARIASP,DROGARIASP,DGSP,,,0
902627,DICCKER,DICCKER,DIKK,,,0
902643,DIANABIOENER,DIANABIOENER,DNBG,,,0
902650,DOBREVEPART,DOBREVEPART,DOBR,,,0
902668,COMERCIALSA,COMERCIALSA,DPAS,,,0
902676,SCOTIABANKBM,SCOTIABANKBM,DRES,,,0
902684,PRINCIPALDSB,PRINCIPALDSB,DSBG,,,0
902692,DATORA,DATORA,DTRA,,,0
902700,DIVCOM,DIVCOM,DVOM,,,0
902718,TAIBAAGUIA,TAIBAAGUIA,EAGU,,,0
902726,EOLICATAIBA,EOLICATAIBA,EAND,,,0
902734,ANGICAL,ANGICAL,EANG,,,0
902742,EATE,EATE,EATE,,,0
902759,ESTALEIROSUL,ESTALEIROSUL,EATL,,,0
902767,EBAM,EBAM,EBAG,,,0
902775,EOLICAFEIJAO,EOLICAFEIJAO,EBFD,,,0
902783,EOLICAFEIJAO,EOLICAFEIJAO,EBFQ,,,0
902791,EOLICAFEIJAO,EOLICAFEIJAO,EBFT,,,0
902809,EOLICAFEIJAO,EOLICAFEIJAO,EBFU,,,0
902817,SEMEARBM,SEMEARBM,EBLM,,,0
902825,EBRASIL,EBRASIL,EBRA,,,0
902833,EBTEEMP,EBTEEMP,EBTE,,,0
902841,VISTAALEGRE,VISTAALEGRE,EBVA,,,0
902858,ECOGEN,ECOGEN,ECGN,,,0
902866,COLONIA,COLONIA,ECOL,,,0
902874,COQUEIRINHO,COQUEIRINHO,ECOQ,,,0
902882,ECORODOANEL,ECORODOANEL,ECRD,,,0
902890,PEDRARAJADA,PEDRARAJADA,ECRJ,,,0
902908,CORRUPIAO,CORRUPIAO,ECRP,,,0
902916,ECTESA,ECTESA,ECTE,,,0
902924,CAITITU,CAITITU,ECTT,,,0
902932,CONCESSIONAR,CONCESSIONAR,ECVM,,,0
902940,ATICA,ATICA,EDAT,,,0
902957,EDUCAMAIS,EDUCAMAIS,EDCM,,,0
902965,EDUCACIONAL,EDUCACIONAL,EDED,,,0
902973,EDPALIANCASC,EDPALIANCASC,EDPA,,,0
902981,EDPRENOVAVEI,EDPRENOVAVEI,EDPR,,,0
902999,EDPTRANSMISS,EDPTRANSMISS,EDPT,,,0
903005,EDPCENTRAIS,EDPCENTRAIS,EDQP,,,0
903013,SCIPIONE,SCIPIONE,EDSC,,,0
903021,ENELEOLICA,ENELEOLICA,EGME,,,0
903039,ENERGIAVENTO,ENERGIAVENTO,EGVE,,,0
903047,ICARAII,ICARAII,EICA,,,0
903054,ICARAIII,ICARAIII,EICD,,,0
903062,INHAMBU,INHAMBU,EINH,,,0
903070,ELFAMED,ELFAMED,ELFA,,,0
903088,ELEJOR,ELEJOR,ELJO,,,0
903104,ELOG,ELOG,ELOG,,,0
903112,ELECTRA,ELECTRA,ELPW,,,0
903120,SERRA,SERRA,ELSJ,,,0
903138,VACASII,VACASII,ELVA,,,0
903146,SERRADASVACA,SERRADASVACA,ELVC,,,0
903153,EOLICAVERMEL,EOLICAVERMEL,ELVM,,,0
903161,EOLICAVACASI,EOLICAVACASI,ELVS,,,0
903179,SERRADASVACA,SERRADASVACA,ELVV,,,0
903187,ELETROZEMA,ELETROZEMA,ELZM,,,0
903203,ENELGREEN,ENELGREEN,ENDE,,,0
903211,ENELBRASIL,ENELBRASIL,ENEL,,,0
903229,ENERGEST,ENERGEST,ENGT,,,0
903237,ENELSUDESTE,ENELSUDESTE,ENLS,,,0
903245,ENERPEIXE,ENERPEIXE,ENPX,,,0
903252,EMPRESANORTE,EMPRESANORTE,ENTE,,,0
903260,VENTOSII,VENTOSII,ENTS,,,0
903278,VENTOSI,VENTOSI,ENVE,,,0
903286,EOLBRISA,EOLBRISA,EOLB,,,0
903294,EOLVENTO,EOLVENTO,EOLV,,,0
903328,EOLWIND,EOLWIND,EOLW,,,0
903336,SAOCRISTOVAO,SAOCRISTOVAO,EOSC,,,0
903344,SAOJORGE,SAOJORGE,EOSJ,,,0
903351,STOANTONIOPA,STOANTONIOPA,EOSP,,,0
903369,EOLICAVACAS,EOLICAVACAS,EOVC,,,0
903377,EPASA,EPASA,EPSA,,,0
903393,VENTOSX,VENTOSX,ERVE,,,0
903401,VENTOSIII,VENTOSIII,ERVT,,,0
903419,SAOMANUEL,SAOMANUEL,ESAM,,,0
903427,PROPERTYBR,PROPERTYBR,ESPB,,,0
903435,USINAESTER,USINAESTER,ESTE,,,0
903443,SERRADASVACA,SERRADASVACA,ESVH,,,0
903468,VACASV,VACASV,ESVV,,,0
903476,ETAPPOTIGUAR,ETAPPOTIGUAR,ETAP,,,0
903484,ALTOURUGUAI,ALTOURUGUAI,ETAU,,,0
903492,ETC,ETC,ETCP,,,0
903500,EMPRPARAENSE,EMPRPARAENSE,ETEP,,,0
903518,ETES,ETES,ETES,,,0
903526,EOLICATAMAND,EOLICATAMAND,ETMD,,,0
903534,ESTREAMBIENT,ESTREAMBIENT,ETRE,,,0
903559,VARZEAGRANDE,VARZEAGRANDE,ETVG,,,0
903567,EOLICAVACAVI,EOLICAVACAVI,EVII,,,0
903575,EXPANSION,EXPANSION,EXTE,,,0
903583,EXTREMOZ,EXTREMOZ,EXTZ,,,0
903591,FABZOSA,FABZOSA,FABZ,,,0
903609,FATPART,FATPART,FATE,,,0
903617,ACEF,ACEF,FCEF,,,0
903625,FACTACFI,FACTACFI,FCTA,,,0
903633,FORCAEOLICA,FORCAEOLICA,FELC,,,0
903641,FLAFLU,FLAFLU,FFLU,,,0
903658,FGRURBANISMO,FGRURBANISMO,FGRU,,,0
903674,FICSABM,FICSABM,FICS,,,0
903682,LUIZACREDCFI,LUIZACREDCFI,FMXS,,,0
903690,ITAUCREDBM,ITAUCREDBM,FNTC,,,0
903708,FONTENOVA,FONTENOVA,FNTE,,,0
903716,FOZ,FOZ,FOZC,,,0
903724,RECIFEGOIANA,RECIFEGOIANA,FOZS,,,0
903732,FRANCISCO,FRANCISCO,FRNS,,,0
903740,FRAPORTBR,FRAPORTBR,FRPR,,,0
903757,FORTBRASIL,FORTBRASIL,FRTB,,,0
903765,FOSPAR,FOSPAR,FSPR,,,0
903773,STARACFI,STARACFI,FSTA,,,0
903781,FATORBM,FATORBM,FTOR,,,0
903799,FYP,FYP,FYPE,,,0
903815,SOMOSENSINO,SOMOSENSINO,GAGL,,,0
903823,GALILEOSA,GALILEOSA,GALE,,,0
903831,GAREN,GAREN,GARN,,,0
903856,GASVERDE,GASVERDE,GASV,,,0
903864,GBXTIETE,GBXTIETE,GBXT,,,0
903872,CEUAZUL,CEUAZUL,GCEU,,,0
903880,GAIACREDIISE,GAIACREDIISE,GCII,,,0
903898,GAIACREDIVSE,GAIACREDIVSE,GCIV,,,0
903948,GAIACREDIIIS,GAIACREDIIIS,GCRD,,,0
903955,AGRESTE,AGRESTE,GEAG,,,0
903963,ALVORADA,ALVORADA,GEEA,,,0
903971,JARDINS,JARDINS,GEEJ,,,0
903989,MACAMBIRAI,MACAMBIRAI,GEEM,,,0
903997,GOODFOOD,GOODFOOD,GFCA,,,0
904003,GIOVANNIENER,GIOVANNIENER,GIOS,,,0
904011,GOLFVILLAGE,GOLFVILLAGE,GLFV,,,0
904029,VENTOSDASERR,VENTOSDASERR,GLIC,,,0
904037,GALVAOPART,GALVAOPART,GLVP,,,0
904045,MACAMBIRAII,MACAMBIRAII,GMCB,,,0
904052,GMRENERGIA,GMRENERGIA,GMRE,,,0
904060,GUANABARABM,GUANABARABM,GNBR,,,0
904078,GUANHAES,GUANHAES,GNHE,,,0
904086,SGFINANCEAM,SGFINANCEAM,GNRL,,,0
904094,GRANINV,GRANINV,GRAI,,,0
904102,ALGARTI,ALGARTI,GRCT,,,0
904110,GERADORA,GERADORA,GRDR,,,0
904128,GOLDMANSACHS,GOLDMANSACHS,GSBR,,,0
904136,GSPLIFE,GSPLIFE,GSPM,,,0
904144,GSPSPE,GSPSPE,GSPP,,,0
904151,GASTERPART,GASTERPART,GSTE,,,0
904177,SPE,SPE,HDBR,,,0
904185,HONDAAM,HONDAAM,HDLS,,,0
904193,HEINZBR,HEINZBR,HENZ,,,0
904219,HERMES,HERMES,HERS,,,0
904227,CHPALTOCANTI,CHPALTOCANTI,HITC,,,0
904235,HELIOBORENST,HELIOBORENST,HLIO,,,0
904243,LAFARGEHOLCI,LAFARGEHOLCI,HOLC,,,0
904250,HORTIGIL,HORTIGIL,HORT,,,0
904268,CARVALHOHOSK,CARVALHOHOSK,HOSK,,,0
904276,KIRTONBM,KIRTONBM,HSBC,,,0
904284,LOSANGOBM,LOSANGOBM,HSBI,,,0
904292,HSINVESTIMEN,HSINVESTIMEN,HSIV,,,0
904318,ESPERANCA,ESPERANCA,HSPE,,,0
904326,HTLSPPART,HTLSPPART,HTLS,,,0
904334,HAZTEC,HAZTEC,HZTC,,,0
904359,RIOIACO,RIOIACO,IACO,,,0
904367,BRADCARBM,BRADCARBM,IAME,,,0
904375,IBMBM,IBMBM,IBML,,,0
904383,IDIBRA,IDIBRA,IDRA,,,0
904391,MADEIRA,MADEIRA,IELM,,,0
904409,HAITONGBI,HAITONGBI,INTL,,,0
904417,IPIRANGAPROD,IPIRANGAPROD,IPIP,,,0
904425,INFRAMERICA,INFRAMERICA,IRAB,,,0
904433,IRACEMA,IRACEMA,IRCT,,,0
904441,IRONHOUSE,IRONHOUSE,IROH,,,0
904458,IRTHA,IRTHA,IRTH,,,0
904466,ISAIBRASIL,ISAIBRASIL,ISAV,,,0
904474,ISOLUXPART,ISOLUXPART,ISLU,,,0
904482,ITAUCARDBM,ITAUCARDBM,ITAC,,,0
904508,CBSSBM,CBSSBM,ITAM,,,0
904516,BBABM,BBABM,ITBB,,,0
904524,INTERCAPBM,INTERCAPBM,ITCP,,,0
904532,ITAREMAENERG,ITAREMAENERG,ITMG,,,0
904540,ITAPOA,ITAPOA,ITPO,,,0
904557,JAURUENERGIA,JAURUENERGIA,JAUR,,,0
904565,ORIGINALAGRO,ORIGINALAGRO,JBSB,,,0
904573,JCPMPARTICIP,JCPMPARTICIP,JCPM,,,0
904581,CIAJACAREZIN,CIAJACAREZIN,JCRZ,,,0
904599,JEFINVEST,JEFINVEST,JEFP,,,0
904607,JOTAELE,JOTAELE,JELE,,,0
904615,JFLVHOUSE,JFLVHOUSE,JFLV,,,0
904623,JHSFMANAUS,JHSFMANAUS,JHMN,,,0
904649,JMALUC,JMALUC,JMEN,,,0
904656,MORGANBC,MORGANBC,JPCB,,,0
904664,JPMORGANBM,JPMORGANBM,JPMG,,,0
904672,MOVIDAGEST,MOVIDAGEST,JSLO,,,0
904680,KINGFOOD,KINGFOOD,KGFC,,,0
904706,KURUMA,KURUMA,KRMA,,,0
904714,KUHN,KUHN,KUHN,,,0
904722,LAGEBM,LAGEBM,LAGE,,,0
904730,EOLICALAGOA,EOLICALAGOA,LANO,,,0
904748,LOCAR,LOCAR,LCAR,,,0
904755,LCEHPART,LCEHPART,LCEH,,,0
904763,LOCALFRIO,LOCALFRIO,LCFR,,,0
904771,EOLICALAN,EOLICALAN,LCNH,,,0
904789,BIOSEVDIS,BIOSEVDIS,LDCS,,,0
904797,LETSRENTACAR,LETSRENTACAR,LETS,,,0
904839,LOGA,LOGA,LGAM,,,0
904847,LAGOA1,LAGOA1,LGER,,,0
904854,LAGOPEDRAPAR,LAGOPEDRAPAR,LGOP,,,0
904862,CIALIGNA,CIALIGNA,LIGN,,,0
904870,LDI,LDI,LIND,,,0
904888,LINHARESSA,LINHARESSA,LINH,,,0
904896,LAJEADOENERG,LAJEADOENERG,LJDE,,,0
904920,LOJASLEADER,LOJASLEADER,LLDR,,,0
904938,PORTOACU,PORTOACU,LLXA,,,0
904946,LAMBDAENERG,LAMBDAENERG,LMBE,,,0
904979,ANDBANKBM,ANDBANKBM,LMON,,,0
904987,METROSAOPAUL,METROSAOPAUL,LMSP,,,0
905000,LINEA,LINEA,LNAM,,,0
905018,LOGEPRINT,LOGEPRINT,LOGP,,,0
905026,LOGPRINT,LOGPRINT,LOGR,,,0
905034,LONGFORD,LONGFORD,LONG,,,0
905042,LSHBARRA,LSHBARRA,LSHB,,,0
905059,LEASEPLANAM,LEASEPLANAM,LSPL,,,0
905067,MONTESCLAROS,MONTESCLAROS,LTMC,,,0
905075,TAUBATE,TAUBATE,LTTE,,,0
905083,LUFTPART,LUFTPART,LUFP,,,0
905091,LUSOBRASILEI,LUSOBRASILEI,LUSO,,,0
905109,MARACANA,MARACANA,MACN,,,0
905117,MAIAEBORBA,MAIAEBORBA,MAIB,,,0
905125,MARAENERGIA,MARAENERGIA,MARH,,,0
905133,MBEXPANSAO,MBEXPANSAO,MBXP,,,0
905141,ESTRELACFI,ESTRELACFI,MCFI,,,0
905158,MCARAIBA,MCARAIBA,MCRB,,,0
905166,MARTINSDIST,MARTINSDIST,MCSD,,,0
905174,MDLREALTY,MDLREALTY,MDLL,,,0
905182,MADRIPART,MADRIPART,MDRI,,,0
905190,MILOINVEST,MILOINVEST,MILO,,,0
905257,MINVEST,MINVEST,MIVS,,,0
905265,MILANOCOMERC,MILANOCOMERC,MLAN,,,0
905273,MILANO,MILANO,MLNP,,,0
905281,MARLIN,MARLIN,MLNV,,,0
905299,MULTILOG,MULTILOG,MLOG,,,0
905307,MMSPARTICIPA,MMSPARTICIPA,MMSP,,,0
905315,PORTOBRASIL,PORTOBRASIL,MMXP,,,0
905323,MMXSUDESTE,MMXSUDESTE,MMXS,,,0
905331,MINASARENA,MINASARENA,MNAR,,,0
905349,MANAUSAMBIEN,MANAUSAMBIEN,MNAU,,,0
905398,MANDIC,MANDIC,MNDC,,,0
905406,BRASOILPETRO,BRASOILPETRO,MNTI,,,0
905414,MANTIQUEIRA,MANTIQUEIRA,MNTQ,,,0
905430,MONTREAL,MONTREAL,MORL,,,0
905448,MORRINHOS,MORRINHOS,MORR,,,0
905455,MARACANAU,MARACANAU,MRCN,,,0
905463,MERCANTII,MERCANTII,MRCS,,,0
905471,MARECHALRON,MARECHALRON,MRHL,,,0
905489,MRLENGENHARI,MRLENGENHARI,MRLE,,,0
905497,MOROCO,MOROCO,MRPT,,,0
905505,MORGANSTANLE,MORGANSTANLE,MSDW,,,0
905513,STAGENEBRA,STAGENEBRA,MSGT,,,0
905521,MSPARTICIPAC,MSPARTICIPAC,MSPS,,,0
905539,METRODABAHIA,METRODABAHIA,MTBA,,,0
905547,MTELTECSA,MTELTECSA,MTEC,,,0
905554,METROBARRA,METROBARRA,MTRB,,,0
905562,METRONORTE,METRONORTE,MTRN,,,0
905570,MATEUS,MATEUS,MTSM,,,0
905588,MULTITERMINA,MULTITERMINA,MTTM,,,0
905596,MATAVELHA,MATAVELHA,MTVL,,,0
905604,MUDARSPESA,MUDARSPESA,MUDA,,,0
905612,MOVIDALOC,MOVIDALOC,MVLV,,,0
905620,MVPARTICIPAC,MVPARTICIPAC,MVSA,,,0
905638,MARISOL,MARISOL,MVST,,,0
905646,XINGUPART,XINGUPART,NASX,,,0
905653,NATIXISBM,NATIXISBM,NATX,,,0
905661,NBCBM,NBCBM,NBCB,,,0
905679,NCENERGIA,NCENERGIA,NCEN,,,0
905695,NOTREDAME,NOTREDAME,NDMI,,,0
905703,COMPNACIONAL,COMPNACIONAL,NEEC,,,0
905711,NEERANS,NEERANS,NEER,,,0
905729,NUFARM,NUFARM,NFAR,,,0
905737,NEGRESCOCFI,NEGRESCOCFI,NGSC,,,0
905745,NAMPONT,NAMPONT,NMHG,,,0
905752,NORTEBR,NORTEBR,NRTB,,,0
905760,NS2,NS2,NSDI,,,0
905778,MAISSHOPPING,MAISSHOPPING,NSPE,,,0
905786,NORTEENERGIA,NORTEENERGIA,NTEN,,,0
905794,NATURALONE,NATURALONE,NTON,,,0
905802,NOVANTS,NOVANTS,NTSD,,,0
905851,VENTOFORMOSO,VENTOFORMOSO,NVFE,,,0
905869,CHAPEUENERGI,CHAPEUENERGI,NVMC,,,0
905877,PONTOCOM,PONTOCOM,NVPC,,,0
905885,NOVAVENTOS,NOVAVENTOS,NVPE,,,0
905893,NVTIANGUA,NVTIANGUA,NVTE,,,0
905901,TIANGUANORTE,TIANGUANORTE,NVTN,,,0
905919,OAS,OAS,OASP,,,0
906008,OCEANAIR,OCEANAIR,OCER,,,0
906016,OCEAN,OCEAN,OCHS,,,0
906024,ODEBRECHTAMB,ODEBRECHTAMB,ODBA,,,0
906032,BRKSUMARE,BRKSUMARE,ODBH,,,0
906040,BRKAMBIENTAL,BRKAMBIENTAL,ODBM,,,0
906057,ODEBRECHTPAR,ODEBRECHTPAR,ODBS,,,0
906065,ODEBRECHTTRA,ODEBRECHTTRA,ODBT,,,0
906073,ODEBSA,ODEBSA,ODCT,,,0
906081,ODEBENER,ODEBENER,ODEB,,,0
906099,ORSA,ORSA,ODRP,,,0
906149,ODEBRETRANS,ODEBRETRANS,ODTR,,,0
906156,ODOYAENERGIA,ODOYAENERGIA,ODYA,,,0
906164,VENTOARAGANO,VENTOARAGANO,OEAR,,,0
906172,EOLICA2,EOLICA2,OESD,,,0
906180,OESTADO,OESTADO,OESP,,,0
906198,OEAEOLICAIV,OEAEOLICAIV,OESQ,,,0
906206,SENANDESIII,SENANDESIII,OEST,,,0
906214,ODEBPARTINV,ODEBPARTINV,OHPT,,,0
906222,OMEGA2,OMEGA2,OMNG,,,0
906230,OUROPRETO,OUROPRETO,OPGR,,,0
906248,OURINVESTBM,OURINVESTBM,ORIV,,,0
906289,OSPINVEST,OSPINVEST,OSPV,,,0
906297,OSX,OSX,OSXN,,,0
906305,PACER,PACER,PACR,,,0
906321,PORTALEGREPA,PORTALEGREPA,PARJ,,,0
906339,EOLICAPARAIS,EOLICAPARAIS,PASO,,,0
906354,RECII,RECII,PCEE,,,0
906362,PORTODOPECEM,PORTODOPECEM,PCEM,,,0
906370,BAHIAPCH,BAHIAPCH,PCHB,,,0
906388,PCHHOLDING,PCHHOLDING,PCHH,,,0
906396,PEDRAII,PEDRAII,PCII,,,0
906404,PEDRAI,PEDRAI,PDCI,,,0
906412,PDCPART,PDCPART,PDCP,,,0
906420,PDL10,PDL10,PDLS,,,0
906438,RECI,RECI,PEEC,,,0
906453,PARNAIBAGAS,PARNAIBAGAS,PGNA,,,0
906461,PARTPHARMA,PARTPHARMA,PHMA,,,0
906479,C2,C2,PIMB,,,0
906487,PIRAPORAIIEN,PIRAPORAIIEN,PIRP,,,0
906495,PEDRARAJADAI,PEDRARAJADAI,PJII,,,0
906503,POLO,POLO,PLIN,,,0
906511,PRIMAVCONST,PRIMAVCONST,PMAV,,,0
906529,PRIMEINC,PRIMEINC,PMIC,,,0
906537,BARCASENERGI,BARCASENERGI,PORB,,,0
906545,SALGADO,SALGADO,POSG,,,0
906552,PARNAIBAENER,PARNAIBAENER,PPEN,,,0
906560,PIRAPORAIX,PIRAPORAIX,PPIX,,,0
906578,PORTONAVEPAR,PORTONAVEPAR,PPNV,,,0
906586,PIRAPORAIVEN,PIRAPORAIVEN,PPRA,,,0
906594,PIRAPORAVI,PIRAPORAVI,PPVI,,,0
906602,ASSURUA,ASSURUA,PQAR,,,0
906610,LARANJEIRASI,LARANJEIRASI,PQEL,,,0
906628,ASSURUAVII,ASSURUAVII,PQER,,,0
906636,LARANJEIRASI,LARANJEIRASI,PQLR,,,0
906644,ASSURUAII,ASSURUAII,PQSS,,,0
906651,PARKEMPREE,PARKEMPREE,PRKE,,,0
906669,PROQUIGEL,PROQUIGEL,PROQ,,,0
906677,PIRAPORAIIIE,PIRAPORAIIIE,PRPA,,,0
906685,PIRAPORAII,PIRAPORAII,PRPO,,,0
906693,PIRAPORAX,PIRAPORAX,PRPX,,,0
906701,PARQUEDALAGO,PARQUEDALAGO,PRQE,,,0
906750,PIRAPORAV,PIRAPORAV,PRRV,,,0
906768,PRUDENSHOPPI,PRUDENSHOPPI,PRSH,,,0
906776,PROSIMULADOR,PROSIMULADOR,PRSL,,,0
906784,PARANAIBA,PARANAIBA,PRTE,,,0
906792,SANTFINANCEA,SANTFINANCEA,PSAF,,,0
906800,POUSOALEGRE,POUSOALEGRE,PSAL,,,0
906818,PNEUSOLA,PNEUSOLA,PSLA,,,0
906826,PORTOCREDCFI,PORTOCREDCFI,PTCR,,,0
906834,POTIGUAR,POTIGUAR,PTGR,,,0
906842,POTAMIENERGI,POTAMIENERGI,PTMI,,,0
906909,PORTONAVE,PORTONAVE,PTNV,,,0
906917,PETRA,PETRA,PTRA,,,0
906925,PIRAPORAVII,PIRAPORAVII,PVII,,,0
906933,QUALICORPADM,QUALICORPADM,QCAB,,,0
906941,QUALICORSEG,QUALICORSEG,QCCS,,,0
906958,QUEIROZDEV,QUEIROZDEV,QGDI,,,0
906966,QUEIROZGALVA,QUEIROZGALVA,QGSA,,,0
906974,QGALVAO,QGALVAO,QRZG,,,0
906982,Q1COMERCIAL,Q1COMERCIAL,QUCR,,,0
906990,QUEIXADA,QUEIXADA,QXDA,,,0
907048,ATLANTICO,ATLANTICO,RATL,,,0
907055,RABOBANKBM,RABOBANKBM,RBBK,,,0
907063,RBCOMMERCIAL,RBCOMMERCIAL,RBCC,,,0
907071,RBCAPHOLDING,RBCAPHOLDING,RBHO,,,0
907089,RIBEIRAOPRET,RIBEIRAOPRET,RBPT,,,0
907097,PRIMEII,PRIMEII,RBRE,,,0
907105,REALTYIX,REALTYIX,RBRN,,,0
907113,RBS,RBS,RBSA,,,0
907121,REALTYVII,REALTYVII,RBST,,,0
907147,RIACHUELO,RIACHUELO,RCHL,,,0
907188,REC2017IX,REC2017IX,RCIX,,,0
907196,REC2017VI,REC2017VI,RCVI,,,0
